eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_returns,eval_discount_q,eval_eplenmean,total timesteps,eval_qs_difference,eval_abs_qs_difference
612.6,5,272.8555,635.7144176363636,642.9683216587024,209.4701318439039,220.1818181818182,55001,78.32214954888194,79.321014
,,,,,,,55063,,
,,,,,,,55955,,
616.5,5,265.49295,644.7322421818182,627.5150232957114,201.80080279038518,226.63636363636363,56001,69.2306221007185,70.98969
,,,,,,,56806,,
620.6,6,268.8215,657.1826006363634,667.3228069303141,201.20542776453843,228.72727272727272,57001,68.60422587119473,68.92728
,,,,,,,57370,,
587.9,3,293.7116,248.10158454545453,248.78402713423992,130.75627636305867,122.63636363636364,58001,196.96026277433933,196.96025
,,,,,,,58085,,
,,,,,,,58926,,
572.5,4,253.40846,531.2555721818181,593.0536656284484,193.47486919674284,187.45454545454547,59001,73.4561778525794,74.56223
,,,,,,,59410,,
,,,,,,,59996,,
583.3,6,281.40442,740.7251056363637,706.9340228613235,222.26333243144927,246.54545454545453,60001,70.59367199051053,71.71387
595.0,6,270.34082,679.6683957272727,676.5097568477054,213.34625659378227,232.63636363636363,61001,68.97499938568056,70.13583
,,,,,,,61019,,
,,,,,,,61619,,
631.7,7,273.89908,931.798811909091,1003.715138057306,232.44554719276448,289.27272727272725,62001,31.948164787719126,34.67006
,,,,,,,62301,,
614.4,4,308.4448,435.74064818181813,436.9130002178345,182.04395141196332,170.0909090909091,63001,158.2248712071919,158.65448
,,,,,,,63130,,
,,,,,,,63957,,
608.9,5,246.81207,605.0708500909091,605.8926814513032,206.08213156269582,199.63636363636363,64001,45.93085685090863,46.991837
,,,,,,,64926,,
608.5,5,259.34357,641.6499295454546,599.5211141045864,205.5698550325049,214.8181818181818,65001,55.838956794493946,56.516483
,,,,,,,65771,,
605.3,5,263.0364,621.700235090909,589.2295253698994,195.4673386095277,221.27272727272728,66001,69.83925068001571,72.61547
,,,,,,,66631,,
640.6,5,256.26065,650.0586784545455,646.7421915095977,215.3749249684323,207.72727272727272,67001,46.00412698486282,49.281498
,,,,,,,67343,,
659.8,5,255.50528,640.6221651818182,643.2812967410357,198.34679317144102,228.0909090909091,68001,60.74693755593366,61.61984
,,,,,,,68180,,
645.4,5,252.82762,584.4426964545454,583.6811478049444,203.5545148716088,199.54545454545453,69001,60.94885340594221,61.927616
,,,,,,,69246,,
635.4,5,258.62155,600.755134090909,642.9915927536158,187.701164497234,217.54545454545453,70001,74.39059449830391,74.8966
,,,,,,,70354,,
606.7,5,241.1394,605.0720581818182,580.7179884414192,207.4449702535272,197.1818181818182,71001,38.58772987921095,42.393192
,,,,,,,71208,,
679.8,10,287.3444,1276.9802086363636,1384.917270369033,245.44849938658183,386.3636363636364,72001,20.484721679517698,25.840124
,,,,,,,72531,,
762.6,10,293.04303,1331.14829,1432.8828714947879,243.55317015113306,410.45454545454544,73001,27.97163074450175,28.838617
,,,,,,,73323,,
796.7,8,281.50714,952.3257487272726,1442.3607122161495,230.08202673060788,313.27272727272725,74001,52.751811108128294,53.733376
,,,,,,,74207,,
1033.9,24,316.13455,2938.119064272727,3143.430912276999,231.40282367770035,952.8181818181819,75001,32.706170394044314,36.29083
,,,,,,,75103,,
1002.7,1,275.19925,74.41248009090909,73.62503723057934,59.02772526919884,44.63636363636363,76001,239.41176735779243,239.41176
,,,,,,,76090,,
1248.9,26,324.1189,3161.024486727273,3165.3166451227903,245.06844741338364,1000.0,77001,32.27820467546505,35.6011
,,,,,,,77809,,
1355.7,11,293.49768,1408.9564993636363,1424.4095951279237,245.06654798254104,427.09090909090907,78001,20.441239116576515,21.463934
1413.2,8,283.22903,1067.3026323636363,1054.6950955204602,242.87464570820464,322.90909090909093,79001,27.254449431987652,30.041327
