total timesteps,eval_returns,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval_eplenmean,eval_qs_difference,eval_qs
66001,520.1732787551141,7,566.9,750.3620756363636,204.5498388253254,76.16482,266.3636363636364,73.19948824081315,271.8701
66043,,,,,,,,,
67001,1039.5689032916493,6,565.5,640.9639528181817,198.31203994353046,90.456696,235.54545454545453,89.09707265360049,274.18826
67111,,,,,,,,,
68001,500.1191210509259,6,590.4,506.13385927272725,170.97790907602277,104.74777,210.54545454545453,103.29785103138657,261.65875
68089,,,,,,,,,
69001,471.9944547788825,5,575.8,391.60505709090916,152.5089239447649,116.107376,184.9090909090909,115.65036554382651,248.9648
69090,,,,,,,,,
69901,,,,,,,,,
70001,627.6775978721099,5,561.4,437.87723363636366,161.12353174362713,107.63513,183.63636363636363,100.8111287734117,249.10864
70583,,,,,,,,,
71001,523.1054447650744,5,548.9,501.8709977272728,172.84001241165194,107.57604,202.54545454545453,106.30825672888128,268.6209
71485,,,,,,,,,
72001,533.8252065637099,6,548.7,554.8397056363636,181.71890662332106,90.77596,212.63636363636363,89.2840492944321,265.27173
72137,,,,,,,,,
72978,,,,,,,,,
73001,415.2755216596413,15,572.4,670.1485642727273,99.65617997582872,136.30234,549.0909090909091,135.4515593881926,255.08296
73666,,,,,,,,,
74001,305.847357650017,4,541.8,382.1973198181818,164.9378007994864,133.46361,151.54545454545453,133.25369818167437,275.61282
74479,,,,,,,,,
75001,-120.62566622886956,5,493.2,229.01235954545456,72.41381556637249,167.30171,200.1818181818182,166.17130991110753,236.80121
75130,,,,,,,,,
75795,,,,,,,,,
76001,291.1085677878653,5,464.4,424.7578413636363,151.6504027295062,127.80865,200.36363636363637,125.6855226274161,259.5265
76748,,,,,,,,,
77001,499.2913940147275,7,437.4,339.73826499999996,87.90832024982389,141.96584,252.0,139.80244470652676,242.53735
77463,,,,,,,,,
78001,103.70805883152102,5,442.2,412.55333272727273,119.7724516266673,129.84343,201.45454545454547,128.67705285739714,254.25053
78039,,,,,,,,,
78824,,,,,,,,,
79001,119.21522107953152,4,405.6,81.73286590909093,39.8056382724135,198.91544,151.72727272727272,198.78063745833788,226.88454
79916,,,,,,,,,
80001,99.53395162052043,4,364.1,136.90930327272724,55.633809867093824,182.15376,156.8181818181818,179.27674748342443,221.54132
80871,,,,,,,,,
81001,160.28601862736485,7,340.3,333.1077703636364,78.52394487530289,171.07155,271.3636363636364,169.81339640021963,248.04297
81521,,,,,,,,,
82001,605.4953736994477,5,324.2,569.7254903636364,195.1789382943751,83.9747,197.9090909090909,81.76910715612482,268.09567
82173,,,,,,,,,
82788,,,,,,,,,
83001,120.60700458075304,2,305.6,197.19361390909089,108.06292757590744,145.07419,94.27272727272727,144.43534711226337,233.61452
