eval_time_elapsed,eval_discount_q,eval_qs,total timesteps,eval_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_abs_qs_difference,eval_returns,eval mean 100 episode reward
4,164.61046223899783,217.38539,82001,70.1382566162475,407.7031130909091,164.54545454545453,72.57114,478.9483303841744,433.6
,,,82840,,,,,,
5,168.65715533275005,235.90752,83001,87.76254564887039,430.9617532727272,176.9090909090909,88.25322,500.34179608690397,414.5
,,,83497,,,,,,
4,155.9834349480302,219.07579,84001,83.7398781733457,368.4269474545455,153.27272727272728,85.823654,438.3503310220081,396.2
,,,84117,,,,,,
,,,84796,,,,,,
5,185.3735310315979,230.4183,85001,53.5426395319877,554.774874909091,202.72727272727272,59.78595,499.60266721108337,404.4
,,,85313,,,,,,
,,,85828,,,,,,
2,102.42067603031593,187.0628,86001,113.51042428484888,199.05652981818182,103.0,118.64086,407.18713916272065,373.8
,,,86647,,,,,,
6,12.037484154229782,190.45122,87001,205.8772868611353,-56.11039318181818,210.36363636363637,206.03369,-482.52748441374456,336.4
,,,87291,,,,,,
,,,87907,,,,,,
4,171.50059231105695,225.23457,88001,75.39058691490716,471.7377206363636,172.27272727272728,79.45819,704.4486161063503,340.1
,,,88386,,,,,,
,,,88707,,,,,,
5,185.094765535741,231.9356,89001,61.83021150832774,497.0922519090909,177.9090909090909,62.42367,569.8978252707595,363.4
,,,89320,,,,,,
,,,89915,,,,,,
5,162.42396707574719,220.28302,90001,67.81507464878406,447.8904540909091,178.8181818181818,68.6952,568.25220661704,371.1
,,,90461,,,,,,
,,,90922,,,,,,
3,139.67697555231896,181.28615,91001,68.2893114072773,307.078796,137.1818181818182,82.775154,191.3772338143351,362.0
,,,91539,,,,,,
16,47.785743203303966,219.2124,92001,141.6430313277657,528.0331933636364,582.2727272727273,143.55153,1037.8059941276083,363.6
,,,92177,,,,,,
,,,92854,,,,,,
6,188.31373290891523,240.78114,93001,46.10764250900275,625.6083350909091,224.9090909090909,48.168392,610.5181654785068,395.6
,,,93590,,,,,,
5,173.67310913413846,236.52202,94001,73.58541772057902,501.29283836363635,190.0,74.237564,633.8235884787397,392.3
