eval_returns,eval_time_elapsed,eval_qs,eval_abs_qs_difference,eval_discount_q,eval_qs_difference,eval_eplenmean,total timesteps,eval_ep_rewmean,eval mean 100 episode reward
,,,,,,,47120,,
,,,,,,,47498,,
,,,,,,,47795,,
341.3808293994875,1,256.70627,133.69841,219.97889812742707,130.4435128988398,59.90909090909091,48001,297.2857558181818,381.4
,,,,,,,48089,,
,,,,,,,48318,,
,,,,,,,48621,,
,,,,,,,48893,,
389.7998954875376,2,255.37172,91.9086,278.848559195147,90.96929396705384,76.36363636363636,49001,403.35139145454553,387.1
,,,,,,,49230,,
,,,,,,,49424,,
,,,,,,,49675,,
271.0756357116598,2,229.87465,90.01367,244.66231517554533,88.6917298015556,65.63636363636364,50001,338.2172190909091,393.0
,,,,,,,50018,,
,,,,,,,50326,,
,,,,,,,50691,,
377.68422436238,3,236.53824,87.93266,276.127292619244,80.12616153335037,90.9090909090909,51001,423.4533463636364,411.6
,,,,,,,51017,,
,,,,,,,51422,,
,,,,,,,51822,,
330.37216795175226,2,223.70723,91.42813,241.30643593452476,89.7727809521079,71.27272727272727,52001,335.7755120909091,405.6
,,,,,,,52162,,
,,,,,,,52496,,
,,,,,,,52823,,
606.8062778262819,2,279.40646,113.85769,281.0293676025389,112.42245841456379,91.63636363636364,53001,443.14815190909087,398.1
,,,,,,,53237,,
,,,,,,,53593,,
,,,,,,,53917,,
494.4924412080225,3,262.04373,88.54123,307.88596188488333,78.04242293108213,101.9090909090909,54001,502.3044831818182,410.8
,,,,,,,54277,,
,,,,,,,54584,,
,,,,,,,54887,,
714.636032654529,2,260.09772,106.03957,269.4093387673489,103.17628031573082,86.9090909090909,55001,415.41432736363635,404.4
,,,,,,,55197,,
,,,,,,,55494,,
,,,,,,,55810,,
353.9402057710958,2,220.0483,94.868164,228.56012071255466,92.70056079801239,67.72727272727273,56001,317.59694918181816,391.6
,,,,,,,56130,,
,,,,,,,56481,,
,,,,,,,56857,,
299.6838512161318,2,228.37656,101.50942,229.93577024416544,100.21891842307373,64.9090909090909,57001,316.9570886363636,387.4
,,,,,,,57112,,
,,,,,,,57562,,
,,,,,,,57933,,
