eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
305.5,107.42442739908289,44001,252.5528338181818,241.74638960866687,4,200.48497,122.74120422964069,107.424416,140.36363636363637
,,44134,,,,,,,
,,44729,,,,,,,
301.3,73.55014339203844,45001,326.5023364545455,315.18144062109576,4,187.72568,141.0751435850702,74.94584,163.45454545454547
,,45424,,,,,,,
,,45899,,,,,,,
275.6,147.79059383384578,46001,228.87420272727275,662.5396375232021,7,193.25197,58.725587374127265,148.35066,257.72727272727275
,,46483,,,,,,,
,,46915,,,,,,,
269.6,113.43677397777056,47001,216.85109181818186,261.18049078710476,3,196.29497,111.23513559616953,113.48886,127.36363636363636
,,47540,,,,,,,
281.4,62.80552153000944,48001,452.76513236363627,434.4175304696455,7,193.11148,134.38923844764284,63.43706,245.1818181818182
,,48367,,,,,,,
288.9,82.55398742912305,49001,420.01706381818184,445.258581892254,7,192.0894,120.74172574970736,83.25981,268.54545454545456
,,49319,,,,,,,
298.5,83.49820864121341,50001,346.31293045454544,409.14942880387656,6,187.17482,123.68796074202741,83.69981,213.72727272727272
,,50127,,,,,,,
,,50996,,,,,,,
305.0,103.239124131478,51001,327.6197363636364,508.54640964492904,6,194.77887,92.72920143491683,103.724396,211.9090909090909
,,51925,,,,,,,
332.0,54.553426476728845,52001,458.428014,501.34591679736496,7,185.36992,133.0056129163689,56.035927,247.54545454545453
,,52846,,,,,,,
356.1,63.75939856200177,53001,458.89269763636366,483.0116279991263,7,189.64203,133.40139611031725,64.61382,259.45454545454544
,,53570,,,,,,,
365.5,66.07697359473124,54001,392.4974458181819,444.271375441219,6,178.75136,127.96777840850258,66.7805,236.36363636363637
,,54373,,,,,,,
377.7,51.3275309532759,55001,313.41712045454545,388.01357433771716,4,159.50441,134.66122680183085,52.91764,163.27272727272728
,,55154,,,,,,,
,,55850,,,,,,,
396.5,24.74722061892729,56001,435.1625307272727,449.0578847884938,5,166.0967,152.02925735554984,31.091002,201.36363636363637
,,56708,,,,,,,
385.2,67.53835792318093,57001,298.24909227272724,351.11769167753863,4,171.46269,129.37775552380182,67.97329,163.0909090909091
,,57667,,,,,,,
363.3,108.14846700513658,58001,216.35116427272726,350.3154730948604,5,179.60048,91.56740522468046,109.26599,182.9090909090909
,,58674,,,,,,,
360.9,67.56026092005355,59001,330.97785727272725,328.47081782557234,4,187.94794,144.3659475123848,68.65187,155.9090909090909
,,59209,,,,,,,
,,59801,,,,,,,
359.5,58.15999975651695,60001,356.9970921818181,484.71696614953214,4,186.99258,153.3109717622031,74.4065,153.27272727272728
,,60426,,,,,,,
352.3,87.46914747076559,61001,316.05052754545454,15.562978789343155,4,192.45235,119.52512499385594,94.1956,147.0909090909091
,,61023,,,,,,,
,,61476,,,,,,,
,,61887,,,,,,,
333.9,59.39305341213203,62001,313.58129136363635,260.2388113470351,3,182.08961,155.3086475836035,63.06877,125.9090909090909
,,62395,,,,,,,
,,62947,,,,,,,
310.7,103.10933753745202,63001,180.20635345454545,182.48541814075676,2,177.36456,110.13882060563219,103.75759,95.54545454545455
,,63527,,,,,,,
309.5,78.12937216256813,64001,333.4724525454546,277.9538951688,3,199.9604,160.23979363813194,78.86369,142.0
,,64134,,,,,,,
,,64843,,,,,,,
298.0,77.35544250187343,65001,307.2242742727272,246.45057875964565,3,192.72878,152.11792933749126,79.91148,134.0
,,65383,,,,,,,
333.7,11.802115070022444,66001,683.0651680909091,701.143124140142,6,207.28905,205.67381436657442,34.786594,237.0
,,66062,,,,,,,
392.8,18.32112507798773,67001,779.7674333636364,709.0051336865288,8,222.53194,194.02556745345964,24.778362,287.27272727272725
,,67034,,,,,,,
,,67833,,,,,,,
413.4,55.223919262995196,68001,469.0694064545456,444.763607845586,4,218.04839,190.2068712077177,56.926758,172.27272727272728
,,68634,,,,,,,
440.5,32.90811734393901,69001,588.5671051818182,592.8882176692097,6,214.31157,197.34928953531136,33.744705,216.72727272727272
,,69518,,,,,,,
444.7,44.258696073254896,70001,434.59959,537.3296359907463,4,193.12799,180.61826751018614,48.395016,166.1818181818182
,,70304,,,,,,,
,,70950,,,,,,,
452.5,52.07009831588734,71001,348.79351599999995,517.5741686599528,3,180.47223,163.80831522088278,63.075596,139.54545454545453
,,71649,,,,,,,
454.6,105.52416021343387,72001,163.91127763636365,116.50813073929744,2,172.46323,102.90909059979599,105.761696,89.36363636363636
,,72231,,,,,,,
,,72956,,,,,,,
475.5,10.32968704731614,73001,527.8089338181819,452.39246096414786,5,193.0838,203.66881443179497,23.63993,178.0
