eval_ep_rewmean,eval_returns,eval_eplenmean,eval_discount_q,eval_time_elapsed,eval mean 100 episode reward,total timesteps,eval_abs_qs_difference,eval_qs_difference,eval_qs
372.6059666363636,278.7442393089977,81.0909090909091,257.54522983600714,2,487.9,80001,106.26401,103.29764654659861,243.69513
,,,,,,80069,,,
,,,,,,80480,,,
,,,,,,80900,,,
349.7298689090909,356.82790692634,68.0909090909091,252.16372460101968,2,471.3,81001,119.45808,109.05244061027861,254.6327
,,,,,,81218,,,
,,,,,,81637,,,
515.9317263636364,316.5282140635385,108.27272727272727,310.63102632513323,3,470.1,82001,82.03392,74.12241843565955,256.4137
,,,,,,82054,,,
,,,,,,82527,,,
,,,,,,82905,,,
513.435000909091,525.2739567208986,104.72727272727273,314.82874857293484,3,477.6,83001,83.593216,73.12543662328223,258.0368
,,,,,,83275,,,
,,,,,,83736,,,
623.3885916363637,546.8161905821858,123.81818181818181,346.67053460064216,4,490.0,84001,70.30637,64.48474419581466,280.11578
,,,,,,84227,,,
,,,,,,84690,,,
646.701453909091,584.5617126337531,123.45454545454545,360.76374352118177,3,504.9,85001,69.08196,63.2917807203124,289.4592
,,,,,,85185,,,
,,,,,,85630,,,
587.5355613636364,491.57161073887215,114.0909090909091,343.3357563861336,3,508.3,86001,60.80123,48.75377218071578,259.2612
,,,,,,86168,,,
,,,,,,86866,,,
720.594462,477.1056015604642,142.36363636363637,376.1476684031832,4,534.3,87001,70.92558,59.15781364968263,294.7381
,,,,,,87457,,,
477.4005310909091,382.439812517593,99.63636363636364,299.50103128212754,3,537.0,88001,108.823845,102.65868955391151,277.49182
,,,,,,88056,,,
,,,,,,88449,,,
,,,,,,88774,,,
452.11225372727273,485.8825913137943,91.0909090909091,294.21798726176854,2,539.1,89001,111.461136,107.11292967530207,279.53757
,,,,,,89195,,,
,,,,,,89918,,,
755.3148318181818,1029.376082119431,147.27272727272728,387.2173858868367,4,578.6,90001,72.333336,67.12204472155923,313.3933
,,,,,,90494,,,
686.2559420909091,751.4587614061843,130.63636363636363,374.73562013757714,4,604.1,91001,89.70265,84.42238135276588,320.86234
,,,,,,91024,,,
,,,,,,91559,,,
603.9298739090908,584.0090897303114,116.0,353.66840489157937,3,614.5,92001,89.33511,84.9272132318967,301.07983
,,,,,,92036,,,
,,,,,,92576,,,
668.3900455454545,719.3771393018435,129.9090909090909,372.06530477656247,4,619.5,93001,82.861145,77.32796666508229,306.37396
,,,,,,93181,,,
,,,,,,93658,,,
767.5482217272728,650.2961646938952,147.45454545454547,389.7407874082133,4,633.9,94001,86.465416,79.48028468179963,328.15393
,,,,,,94229,,,
,,,,,,94773,,,
573.6833337272727,541.5631422008169,109.0,339.0459127936294,3,631.5,95001,88.591644,78.43637560235778,287.79138
,,,,,,95318,,,
,,,,,,95915,,,
708.7087814545455,677.9402097448304,136.54545454545453,378.54109137130706,4,634.4,96001,68.23027,59.177898564182485,294.29514
,,,,,,96363,,,
,,,,,,96769,,,
560.0694492727272,606.4047264823904,106.54545454545455,338.0584247439777,3,637.9,97001,83.12021,75.12993907092479,281.22864
,,,,,,97152,,,
,,,,,,97821,,,
560.0604007272727,546.7947401638799,109.0909090909091,331.975347446755,3,650.9,98001,79.70702,68.20167025695436,270.63248
,,,,,,98236,,,
,,,,,,98781,,,
684.2782908181817,511.1330921308848,139.8181818181818,367.1088352238858,4,650.2,99001,120.97524,117.27707577008992,339.90106
,,,,,,99329,,,
,,,,,,99794,,,
861.8395451818182,652.3611414739275,171.0909090909091,401.5926842975798,5,666.9,100001,79.42047,71.16355298278808,330.05008
,,,,,,100320,,,
,,,,,,100740,,,
802.82444,888.3533228241872,165.8181818181818,367.8523290035451,5,682.0,101001,113.745964,107.40955499146993,339.38672
,,,,,,101265,,,
,,,,,,101970,,,
743.2034978181817,643.6356624281584,147.0,382.47226433994655,4,696.7,102001,58.409912,45.26256628428078,284.42093
,,,,,,102508,,,
735.6476803636365,605.2747777151069,146.63636363636363,375.0290694959594,4,696.2,103001,94.94935,90.54345934168055,322.4957
,,,,,,103093,,,
,,,,,,103828,,,
803.1873775454546,652.8733412014889,156.1818181818182,402.1065457163824,5,714.0,104001,68.3025,62.27543047279574,317.9758
,,,,,,104443,,,
,,,,,,104973,,,
818.9303865454546,956.7901219161956,160.27272727272728,395.36494545295295,5,725.0,105001,87.86625,80.61697673274146,336.72455
,,,,,,105675,,,
859.0095008181817,1261.471213958942,169.0,405.3530602739081,5,753.6,106001,81.08353,78.48190085447864,341.055
,,,,,,106545,,,
861.1971164545455,738.5571141838534,164.72727272727272,412.2367194478971,5,791.4,107001,66.01592,53.782943568612524,322.94232
,,,,,,107157,,,
,,,,,,107743,,,
842.8242039090909,835.6466891118293,166.0909090909091,389.1998555634991,5,809.6,108001,79.00622,62.65885925916511,316.90005
,,,,,,108440,,,
748.055664,542.682864010955,148.45454545454547,375.72597386913003,4,801.1,109001,109.30706,105.37390343420203,345.68256
,,,,,,109084,,,
,,,,,,109711,,,
840.2163214545453,1520.9373048908142,160.9090909090909,400.6526193714984,5,796.0,110001,81.24094,70.04596869407308,333.1513
,,,,,,110332,,,
,,,,,,110977,,,
695.8342673636363,633.6652791082274,134.72727272727272,375.7678442942406,4,798.5,111001,86.56538,73.78691763138546,311.23288
,,,,,,111723,,,
803.4011666363637,803.4853982848362,159.1818181818182,389.9944250853609,5,804.7,112001,86.61868,78.90772889335231,327.60724
,,,,,,112299,,,
724.2174713636363,669.5111585784763,140.9090909090909,376.024921078023,4,799.7,113001,85.786125,77.39296318713436,315.22702
,,,,,,113121,,,
,,,,,,113847,,,
750.8503290909091,418.28888271316754,145.63636363636363,380.14856330358776,4,793.9,114001,90.615685,83.09233698769695,325.8203
,,,,,,114516,,,
,,,,,,114983,,,
780.3562109999999,731.7034764144079,151.1818181818182,390.1605682018489,4,790.7,115001,90.610405,84.15385842204199,334.32077
,,,,,,115592,,,
770.5511315454546,557.3527928503245,152.45454545454547,390.177439625104,5,774.8,116001,83.826454,69.17757202935294,315.1759
,,,,,,116280,,,
,,,,,,116728,,,
773.0696280909091,855.2660146644411,150.72727272727272,383.01932387938774,4,764.2,117001,101.32657,89.94261106512826,334.08957
,,,,,,117471,,,
1059.4292095454546,1018.5538864657434,207.0909090909091,431.0428695043634,6,795.4,118001,67.56917,62.095395177510454,352.94482
,,,,,,118124,,,
1228.9787282727275,1168.0752032220048,245.54545454545453,439.1697414570657,8,844.6,119001,78.14514,59.55837648452055,360.31873
,,,,,,119006,,,
942.6011280000001,1266.5733258894938,181.63636363636363,396.1214384435106,5,862.8,120001,110.73168,96.93614715399434,362.14603
,,,,,,120024,,,
,,,,,,120936,,,
644.7281635454545,416.8022890058501,124.18181818181819,353.98096157575543,4,852.8,121001,99.635994,93.69008476543863,316.12567
,,,,,,121879,,,
