eval_qs_difference,eval_abs_qs_difference,eval mean 100 episode reward,total timesteps,eval_returns,eval_discount_q,eval_qs,eval_time_elapsed,eval_ep_rewmean,eval_eplenmean
30.742873964039223,33.313576,1510.8,96001,821.2618032809211,227.7976433184228,248.4147,7,805.2818368181817,266.1818181818182
,,,96740,,,,,,
59.209757308951886,60.224808,1339.1,97001,729.1370603589169,231.60868008031184,272.7881,6,728.4850830909091,233.72727272727272
,,,97716,,,,,,
64.52001927811689,65.447845,1202.7,98001,710.4496495876748,226.46908465567205,272.64886,6,708.0100877272727,232.45454545454547
,,,98557,,,,,,
70.27731128105755,71.220894,1000.5,99001,614.6158591768719,211.91719909797965,256.16202,5,597.9742975454545,208.8181818181818
,,,99432,,,,,,
69.24400600263475,69.723274,966.9,100001,767.6795222856819,228.99351894851333,281.38797,7,769.7897449090909,256.0
,,,100399,,,,,,
61.47723198811036,62.619774,791.7,101001,692.1315382873752,218.16940754237623,260.35956,6,673.1391462727272,229.8181818181818
,,,101281,,,,,,
58.236237174279616,59.41909,778.7,102001,961.2396474876999,237.69881764292566,287.49377,9,976.7197097272727,322.1818181818182
,,,102082,,,,,,
38.429220060662836,43.888584,822.4,103001,1132.2332624101182,239.73691260250206,280.30356,10,1110.278994818182,360.3636363636364
,,,103179,,,,,,
50.77611838021153,52.580013,819.1,104001,1003.4682054483789,235.40332057300927,285.4273,9,978.8266521818182,317.90909090909093
,,,104267,,,,,,
38.113911590438,39.71216,824.1,105001,891.8951101152203,233.56988519229154,264.91913,8,883.0219717272726,287.3636363636364
,,,105161,,,,,,
47.98984694702105,50.16693,838.1,106001,892.5591808886325,235.9054092274973,271.48407,8,870.6417393636365,285.0
,,,106100,,,,,,
21.212656408338464,28.568151,862.5,107001,968.262214464448,245.100394139143,262.12015,8,940.4639155454547,289.54545454545456
,,,107131,,,,,,
55.91026177474071,60.68325,903.5,108001,961.8699095208183,239.81810286327146,285.43762,9,987.7938079999999,326.72727272727275
,,,108042,,,,,,
39.679073076714964,42.444466,898.3,109001,865.7781013322053,226.84212789414696,247.33376,6,684.301621909091,220.36363636363637
,,,109031,,,,,,
,,,109984,,,,,,
220.2911691358654,220.29115,851.9,110001,206.0884353695846,124.70257131826878,308.70975,2,206.8104598181818,94.27272727272727
,,,110673,,,,,,
25.1769811667404,31.18623,845.4,111001,1036.7499244778785,238.93492158783468,264.87936,8,949.4470376363636,297.09090909090907
,,,111553,,,,,,
82.92363279900107,83.49037,836.4,112001,832.0081785493275,232.50968740176958,296.1734,10,987.6513002727274,350.27272727272725
,,,112879,,,,,,
32.58755835754633,34.852604,929.8,113001,1837.0307253097671,239.3146279880423,300.4654,17,1930.2314350000001,629.3636363636364
,,,113922,,,,,,
50.03587908303759,52.685947,940.5,114001,921.591335762079,242.0283336914884,278.13712,8,915.0120473636362,296.09090909090907
,,,114942,,,,,,
42.15719477613429,46.475155,948.9,115001,938.5774993604037,236.14900377717532,274.3686,8,949.5571589090908,308.45454545454544
,,,115754,,,,,,
23.657809115960575,26.793934,943.8,116001,824.9316857009549,233.1030244473285,258.14944,7,874.5955058181819,274.54545454545456
,,,116818,,,,,,
42.52038252905008,45.312607,920.1,117001,761.0431513980458,225.56116899303726,260.9482,6,758.0654634545455,244.8181818181818
,,,117971,,,,,,
11.894697270815378,24.078375,927.9,118001,844.7092171903683,237.4064209972132,242.24115,6,805.4967373636363,244.8181818181818
,,,118910,,,,,,
27.09154312427353,32.60448,972.1,119001,834.1572538727567,231.1820387195872,242.98834,6,705.2888712727273,219.63636363636363
,,,119866,,,,,,
17.069437213137917,23.993471,981.4,120001,903.7522786835568,239.34356727457592,255.43658,7,894.9353259090909,274.1818181818182
36.93708598983796,38.298008,951.7,121001,730.5234154657137,221.32802501466992,251.05638,6,732.2271254545453,239.54545454545453
,,,121092,,,,,,
42.8956603997149,45.75558,860.1,122001,890.1715220138766,240.73848098455662,269.6204,8,900.9987652727273,292.27272727272725
,,,122083,,,,,,
50.87109816675636,51.672264,834.6,123001,877.4751019877261,243.2730344319867,277.30942,8,879.0195288181818,281.8181818181818
,,,123157,,,,,,
21.07184382304,26.052399,837.9,124001,966.094499494068,255.726252917291,267.32117,8,981.402806,295.72727272727275
,,,124144,,,,,,
72.20620401527621,73.83348,847.6,125001,955.6920916782448,236.79781184717865,292.91443,9,981.3787688181816,336.90909090909093
,,,125312,,,,,,
81.56304943711986,82.21978,837.9,126001,693.2758645531848,225.2806623347857,273.09012,6,659.9077230909091,228.0
,,,126371,,,,,,
154.69364319380676,156.06076,807.5,127001,517.4340627454168,206.1958663837045,323.85812,5,518.4722614545453,185.8181818181818
,,,127400,,,,,,
122.20742009526471,122.81906,800.7,128001,522.8937280495506,220.11723091255305,309.69345,6,633.5768973636364,216.8181818181818
,,,128593,,,,,,
63.34198737010973,64.07544,855.5,129001,1592.6695680176506,251.78758572275777,311.48285,13,1462.7420735454546,482.54545454545456
,,,129695,,,,,,
54.65625098926136,56.59347,865.3,130001,813.2924671814047,237.87058771392475,271.61676,7,793.6978675454545,256.72727272727275
,,,130686,,,,,,
0.15228945012805958,14.921893,900.9,131001,1243.1459612888789,263.20313463100393,273.0933,10,1230.0654213636362,355.3636363636364
8.82147403445344,15.990003,913.3,132001,970.1064792854762,257.0517639986184,259.02744,8,969.3259932727273,285.72727272727275
,,,132201,,,,,,
55.53174791066013,57.201847,919.1,133001,645.5350084024269,226.69424252212428,278.23047,9,987.2204986363638,332.0
,,,133607,,,,,,
86.36773336446953,88.08915,915.7,134001,519.7230049408821,233.37231390526142,297.46594,9,941.0467378181819,317.8181818181818
,,,134632,,,,,,
48.24867893320929,48.904152,977.0,135001,937.2131510342873,233.1591454504396,290.3705,12,1309.0794070909092,433.3636363636364
,,,135797,,,,,,
46.37176053611324,48.22766,1059.7,136001,988.9200823444286,226.73435974772102,289.13614,11,1302.510735818182,421.0
51.28018688190016,51.72599,1137.0,137001,1067.7774350999327,230.18115610182286,291.50613,12,1316.2367565454545,443.0
,,,137266,,,,,,
61.23214794869623,61.738712,1108.8,138001,962.1419963860113,235.6623056881948,290.19974,9,1047.6996881818181,350.09090909090907
,,,138461,,,,,,
84.74731310168764,85.02497,1130.0,139001,1164.389672610844,247.4376311534957,316.9468,10,1126.916287,370.3636363636364
,,,139636,,,,,,
20.315054582279597,22.200798,1137.0,140001,1008.5318845635741,258.5941083183567,276.0348,10,1205.591533909091,363.8181818181818
,,,140791,,,,,,
