eval_discount_q,eval_qs_difference,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,total timesteps,eval_abs_qs_difference,eval_time_elapsed
,,,,,,,29221,,
,,,,,,,29442,,
,,,,,,,29663,,
,,,,,,,29961,,
282.1956066769342,116.11614426318346,92.81818181818181,401.6557333620485,196.7,440.9014226363636,283.63712,30001,119.67121,3
,,,,,,,30175,,
,,,,,,,30403,,
,,,,,,,30642,,
,,,,,,,30842,,
,,,,,,,30957,,
80.25773875535653,289.9124497490253,17.545454545454547,84.13373177279742,195.1,87.36495772727272,334.9526,31001,289.91248,0
,,,,,,,31037,,
,,,,,,,31111,,
,,,,,,,31305,,
,,,,,,,31501,,
,,,,,,,31929,,
253.3593712774609,139.3269086311048,71.0,269.1611499363267,218.7,359.5372172727272,287.1871,32001,140.3149,2
,,,,,,,32196,,
,,,,,,,32466,,
,,,,,,,32780,,
182.52803389244843,122.14206103201667,43.72727272727273,217.20275057211273,229.7,226.3547617272727,226.1704,33001,122.27832,1
,,,,,,,33037,,
,,,,,,,33236,,
,,,,,,,33449,,
,,,,,,,33660,,
,,,,,,,33862,,
186.261574541619,137.65419374882939,43.63636363636363,240.91386769435937,245.4,231.0770819090909,244.14835,34001,138.10866,1
,,,,,,,34069,,
,,,,,,,34229,,
,,,,,,,34409,,
,,,,,,,34604,,
,,,,,,,34770,,
,,,,,,,34992,,
182.62761706419704,128.12218647982266,43.18181818181818,189.16765324144168,249.4,228.0942696363636,231.87846,35001,135.99124,1
,,,,,,,35166,,
,,,,,,,35316,,
,,,,,,,35483,,
,,,,,,,35650,,
,,,,,,,35828,,
263.0507278118769,116.74562829478532,75.27272727272727,336.2459488431356,261.7,377.9109100909091,271.06763,36001,117.5218,2
,,,,,,,36020,,
,,,,,,,36282,,
,,,,,,,36532,,
,,,,,,,36726,,
,,,,,,,37000,,
262.69843055389845,87.55618157923271,72.54545454545455,421.79325164932567,283.5,374.69022045454545,244.39764,37001,93.90595,2
,,,,,,,37203,,
,,,,,,,37369,,
,,,,,,,37530,,
,,,,,,,37707,,
,,,,,,,37884,,
166.25261976060938,188.10535115448695,41.36363636363637,220.57644674093672,280.8,203.72918827272727,281.80173,38001,188.58818,1
,,,,,,,38051,,
,,,,,,,38230,,
,,,,,,,38434,,
,,,,,,,38776,,
242.59617611624742,240.97915094967263,80.0,496.65753812459934,271.2,350.8188818181818,373.6711,39001,241.7672,2
,,,,,,,39139,,
,,,,,,,39432,,
,,,,,,,39733,,
241.70807743940415,205.4485980470274,78.0909090909091,328.4771599112302,295.1,344.7003814545455,337.40485,40001,206.9794,2
,,,,,,,40028,,
,,,,,,,40316,,
,,,,,,,40594,,
,,,,,,,40858,,
197.8539020728965,158.47914128936597,52.54545454545455,271.9816752025903,289.2,258.30271354545454,271.2549,41001,161.49617,1
,,,,,,,41111,,
,,,,,,,41439,,
,,,,,,,41729,,
268.60731453445226,117.61079646479503,83.36363636363636,457.08921929337856,304.5,400.10844372727274,275.63483,42001,127.88779,2
,,,,,,,42053,,
,,,,,,,42353,,
,,,,,,,42710,,
203.48461308500256,199.62636123302192,58.45454545454545,315.62968017616737,310.1,268.89542527272727,311.63437,43001,201.21274,1
,,,,,,,43047,,
,,,,,,,43280,,
,,,,,,,43602,,
,,,,,,,43964,,
214.5865430978046,172.16728471240293,69.18181818181819,321.0140214352557,317.5,297.4245619090909,289.05508,44001,176.01808,2
,,,,,,,44268,,
,,,,,,,44525,,
,,,,,,,44676,,
,,,,,,,44902,,
306.70784927766726,91.9476592633146,97.18181818181819,391.93817580443374,332.1,487.36520927272727,273.80353,45001,104.58465,3
,,,,,,,45170,,
,,,,,,,45404,,
,,,,,,,45622,,
,,,,,,,45846,,
238.4635107733614,121.96833480649151,63.54545454545455,399.89453311192483,327.6,328.11600518181814,260.81226,46001,130.44724,2
,,,,,,,46092,,
,,,,,,,46284,,
,,,,,,,46506,,
,,,,,,,46758,,
,,,,,,,46928,,
202.00702065770946,109.7456160807871,49.90909090909091,293.03621824585383,330.7,258.3277000909091,226.14986,47001,110.48906,1
,,,,,,,47163,,
,,,,,,,47456,,
,,,,,,,47676,,
,,,,,,,47905,,
142.61185349413407,279.37977837320284,34.81818181818182,137.97275759809438,318.1,175.15344054545452,359.4478,48001,281.23892,1
,,,,,,,48079,,
