eval_eplenmean,eval_discount_q,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_time_elapsed,eval_qs,total timesteps
,,,,,,,,,54581
84.0909090909091,264.1214306572495,87.21308421248675,387.2447028181818,90.37979,403.1,251.9603634738508,2,231.32817,55001
,,,,,,,,,55006
,,,,,,,,,55458
,,,,,,,,,55768
,,,,,,,,,55996
73.9090909090909,227.97348954636198,75.86811080481634,316.1423219090909,78.09653,388.7,243.72059910709402,2,195.73407,56001
,,,,,,,,,56308
,,,,,,,,,56561
,,,,,,,,,56963
71.0,240.77951855429595,78.46535243285267,337.23283536363635,86.250854,374.6,271.5296251034611,2,211.25903,57001
,,,,,,,,,57200
,,,,,,,,,57503
,,,,,,,,,57821
86.81818181818181,265.1654633986802,90.725286925512,396.7454166363636,98.27536,360.8,666.1122532074836,2,236.36684,58001
,,,,,,,,,58122
,,,,,,,,,58385
,,,,,,,,,58753
126.63636363636364,343.83197044955864,70.77638987350993,628.2257895454545,91.15276,383.0,627.9762050229474,4,284.3242,59001
,,,,,,,,,59185
,,,,,,,,,59572
,,,,,,,,,59968
86.54545454545455,271.6911187200103,149.13239657465678,403.0836525454546,150.53094,377.2,395.0924013356557,2,299.60043,60001
,,,,,,,,,60358
,,,,,,,,,60787
73.45454545454545,245.30389185039414,129.328996661347,342.5672415454545,137.18105,368.3,419.16623317850036,2,262.70526,61001
,,,,,,,,,61147
,,,,,,,,,61512
,,,,,,,,,61790
112.0909090909091,313.88062773403846,80.22708280230052,521.3582283636364,88.769745,401.2,457.90107256820374,3,261.21405,62001
,,,,,,,,,62186
,,,,,,,,,62596
,,,,,,,,,62954
108.81818181818181,314.09870709683724,79.5152391408842,519.3134687272727,89.7012,426.2,411.9287274714815,3,261.712,63001
,,,,,,,,,63377
,,,,,,,,,63746
101.81818181818181,293.7228356448401,83.36141234756958,492.18453554545454,90.22667,438.5,362.8687665075911,3,253.12154,64001
,,,,,,,,,64148
,,,,,,,,,64606
117.81818181818181,347.66429636035787,46.05901457003562,599.970215,69.85809,466.4,570.3038579651924,3,259.3371,65001
,,,,,,,,,65015
,,,,,,,,,65498
,,,,,,,,,65994
99.27272727272727,319.888620917149,94.19638280026908,512.8826432727273,96.44832,485.6,553.2193662075372,3,288.3392,66001
,,,,,,,,,66353
,,,,,,,,,66783
108.18181818181819,334.3987487759934,121.93282528955164,551.535834909091,124.6222,505.6,666.3707832998157,3,322.6738,67001
,,,,,,,,,67157
,,,,,,,,,67638
112.45454545454545,342.76738186468816,88.21088018480322,580.7017810909091,90.760445,502.9,629.1184269438177,3,298.3608,68001
,,,,,,,,,68052
,,,,,,,,,68462
,,,,,,,,,68840
95.9090909090909,297.60345524034915,67.19631645961285,462.9374967272727,84.63882,507.6,424.0132843905721,3,238.19054,69001
,,,,,,,,,69289
,,,,,,,,,69716
119.63636363636364,353.7018944346976,66.21868865041552,612.993231090909,78.70053,535.4,572.9746300135623,3,284.48428,70001
,,,,,,,,,70297
,,,,,,,,,70777
135.72727272727272,364.6329950447434,50.559344170761,670.8068067272726,66.30152,553.7,523.2929246401656,4,274.05222,71001
,,,,,,,,,71260
,,,,,,,,,71736
