eval_abs_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval_returns,eval mean 100 episode reward,eval_discount_q,total timesteps,eval_qs
,,,,,,,,107086,
,,,,,,,,107786,
131.01,722.5144598181819,251.63636363636363,128.22508236704505,7,335.2141665987481,807.7,173.49738943240837,108001,312.2734
,,,,,,,,108771,
153.1963,547.1187133636363,207.54545454545453,152.1248791687349,5,176.83029105865458,790.7,175.0886734415954,109001,303.1671
,,,,,,,,109325,
,,,,,,,,109872,
143.5979,569.4622738181818,191.1818181818182,137.03372519157114,5,1222.4707209710416,731.3,173.03197510474112,110001,287.69254
,,,,,,,,110489,
160.2004,479.69879518181824,175.27272727272728,157.93990158554314,4,319.6539297222298,700.2,195.66946780651944,111001,309.92188
,,,,,,,,111492,
104.35458,1026.7404645454546,325.6363636363636,98.68163040675681,9,608.9642157622383,727.7,222.8221509054387,112001,324.93283
,,,,,,,,112068,
,,,,,,,,112826,
111.71301,755.1444604545453,232.54545454545453,105.54634660137812,6,1258.736121523295,723.8,227.05231037705843,113001,312.60324
,,,,,,,,113393,
,,,,,,,,113746,
146.84839,515.0114699090909,170.36363636363637,146.03725488724302,4,639.599019378065,692.1,206.99248905366858,114001,321.5615
,,,,,,,,114930,
275.05185,27.820191545454552,34.90909090909091,275.0518567820532,0,29.299590079646723,657.6,22.039162413009095,115001,292.218
,,,,,,,,115781,
160.44199,215.69329372727273,82.0909090909091,158.4005054232932,2,184.95175814634734,568.7,126.65979503912608,116001,259.45715
,,,,,,,,116332,
120.532036,732.6340221818181,232.1818181818182,115.16025865551943,6,644.9697018341797,548.1,214.26213976236215,117001,316.06494
,,,,,,,,117217,
188.56447,516.246421090909,181.8181818181818,184.48116869992268,5,203.88161950205313,539.3,152.99339497204187,118001,306.94495
,,,,,,,,118309,
160.02098,533.0750642727272,181.0909090909091,158.382516199942,5,583.9646809897874,536.8,197.81511453425884,119001,329.8675
,,,,,,,,119226,
234.2999,188.36316854545456,97.54545454545455,233.29276577714307,2,196.06795007091023,501.9,119.01500742625086,120001,305.60886
,,,,,,,,120038,
,,,,,,,,120630,
81.733734,1559.046432,417.45454545454544,78.76485302802782,11,1822.7639780873267,555.5,265.2753463219627,121001,377.7709
,,,,,,,,121622,
131.03409,747.0800881818182,225.9090909090909,122.54460960071282,6,470.77372198193507,567.0,205.90232520844512,122001,311.7362
,,,,,,,,122497,
87.59356,1354.201806909091,356.6363636363636,78.94219370694282,10,1488.5095101988768,640.6,275.0325966582111,123001,364.34164
,,,,,,,,123158,
,,,,,,,,123891,
111.545135,1045.059887272727,287.90909090909093,104.01422920355039,8,502.4650854926099,753.6,250.94418896096823,124001,351.0433
,,,,,,,,124720,
134.45177,708.9114925454546,217.0,129.56916996253628,6,1127.717581976296,805.0,228.01262087784264,125001,337.95087
,,,,,,,,125723,
184.746,497.8625649090909,165.27272727272728,181.67347768531548,4,707.7933037386831,791.5,179.25445583787234,126001,338.6216
,,,,,,,,126374,
142.4237,805.2559571818182,266.90909090909093,138.4033037010804,7,545.302995822709,817.0,185.5310768290008,127001,341.5029
,,,,,,,,127180,
,,,,,,,,127953,
91.40402,1385.6195268181818,369.3636363636364,84.38202826620726,10,849.0940479426887,911.6,262.6433473618616,128001,364.78778
,,,,,,,,128861,
174.75136,461.8607525454545,149.54545454545453,171.42662847983664,4,803.1445172564573,937.9,178.30636355312788,129001,325.5061
,,,,,,,,129961,
129.89906,954.510618090909,279.1818181818182,128.6876920544983,7,2003.6301943757348,884.8,238.46829737137602,130001,367.1049
,,,,,,,,130542,
165.17679,643.4252231818181,198.1818181818182,159.14353236441218,5,565.685111097019,865.8,188.6067654501985,131001,331.50372
,,,,,,,,131258,
,,,,,,,,131910,
140.51021,811.0519738181819,245.0,135.492928996341,7,181.1427017308001,830.2,205.65690266533664,132001,338.9841
,,,,,,,,132690,
116.94245,1627.3411897272729,428.0,104.5954963314728,12,3132.4443698876767,854.7,250.78840306034053,133001,365.14377
,,,,,,,,133416,
156.00343,854.0782522727272,270.72727272727275,150.08664552711585,7,2255.0207176903405,878.6,203.3492703012548,134001,347.5276
,,,,,,,,134501,
82.374756,1514.133396090909,367.8181818181818,64.19481489510575,10,3697.9693026762047,968.6,275.0458488733327,135001,364.9008
,,,,,,,,135654,
119.459274,1206.8898551818181,314.6363636363636,110.68266823958803,9,2348.0465660938303,1025.6,251.07237019190117,136001,366.97766
,,,,,,,,136048,
,,,,,,,,136733,
