eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
50.33610473044451,286.00507,72001,218.76218826512732,330.09090909090907,52.001293,1007.2308714545453,1102.026768182704,758.6,9
,,72569,,,,,,,
44.5656850114783,282.5577,73001,232.25687994704995,279.6363636363636,46.303555,896.3922247272727,917.8955860622793,733.4,8
,,73665,,,,,,,
119.22619393033416,291.7197,74001,198.2599096579808,167.0909090909091,119.3742,504.7790007272728,551.8511546581028,716.1,4
,,74934,,,,,,,
73.33936374817921,270.57004,75001,209.49910698978667,244.54545454545453,73.53838,695.2165521818182,801.0066842504381,738.8,7
,,75585,,,,,,,
84.72403263695635,284.4391,76001,213.22310695105514,242.54545454545453,86.05582,707.5338895454547,467.88412915415336,754.4,7
,,76374,,,,,,,
104.34647818853709,275.2949,77001,193.5208723022778,229.0,105.07282,584.4273998181818,537.329187958971,731.3,6
,,77205,,,,,,,
91.68255775686565,280.01062,78001,201.98128350099444,277.3636363636364,92.69948,723.8573459999999,686.9794484258699,720.0,8
,,78461,,,,,,,
40.88375374709389,277.63474,79001,223.3545739142218,297.3636363636364,41.126617,925.1168544545454,913.37153723085,750.7,8
,,79485,,,,,,,
215.05096350732717,286.36624,80001,114.80486917076345,99.27272727272727,215.05098,184.45227599999998,186.5942628895671,700.9,2
,,80342,,,,,,,
196.45615945830977,309.0695,81001,138.79205758734795,135.0909090909091,196.96236,365.1984677272727,1173.0411751702616,624.7,3
,,81325,,,,,,,
31.640411237663763,278.4966,82001,246.3988553481333,294.72727272727275,32.453808,971.4835662727272,972.6236463455054,632.9,8
,,82310,,,,,,,
33.423497674806065,272.60217,83001,246.37647444089026,260.72727272727275,34.14509,867.6325067272727,881.9934610967712,664.9,7
,,83377,,,,,,,
222.30061564667966,291.71722,84001,114.12941532116382,99.63636363636364,222.3006,182.152778,181.78891072840244,620.9,2
,,84147,,,,,,,
,,84458,,,,,,,
