eval_eplenmean,eval_returns,eval_discount_q,eval mean 100 episode reward,eval_qs,eval_abs_qs_difference,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean,total timesteps
1000.0,7111.029123283489,547.587952081432,6779.2,657.8933,89.956024,10.165854465141985,26,7019.386577818182,107001
,,,,,,,,,108000
1000.0,6991.090341596207,547.3801823430961,6794.8,663.48926,85.51877,19.80343363339733,26,6978.764289363636,108001
1000.0,7060.183861390679,554.1540018731862,6849.1,662.444,88.961044,15.161942713431927,26,7021.432676363635,109001
1000.0,6975.285494360944,551.9441770578155,6870.9,660.8221,86.6516,13.951868835852048,26,7015.126705545455,110001
1000.0,6956.658886143742,557.6295103748206,6938.6,663.46954,87.55329,19.898331981134014,26,6987.765551818183,111001
,,,,,,,,,112000
1000.0,6492.580274460039,511.2678032363343,6931.4,657.8658,79.280975,44.90941493069716,26,6635.71870190909,112001
1000.0,6809.574076242526,543.8440192383495,6918.3,672.6049,75.475365,42.14710240212628,26,6842.983638272728,113001
1000.0,7071.753415598256,549.7945029254735,6945.4,675.8225,86.00435,19.361708942396902,26,7108.904288636364,114001
1000.0,6824.519236496281,540.6658911635927,6945.8,674.3916,77.371544,39.21139034732084,26,6887.061455181818,115001
,,,,,,,,,116000
1000.0,7253.156963376589,550.2757171368206,6955.4,680.0983,87.0337,22.665374962483302,26,7119.102763909091,116001
1000.0,7183.949599547007,558.3182674220275,6982.8,679.54224,93.68022,10.51252910308145,26,7243.0319350909085,117001
1000.0,7116.1460174999265,551.5722633724607,6996.8,679.9634,88.21656,21.37069306072316,26,7131.983121636365,118001
1000.0,6953.0479272148605,551.9832492513351,7004.0,676.87164,86.84695,24.58075910481898,26,7069.372478272726,119001
,,,,,,,,,120000
1000.0,7066.360905447589,555.855654833373,7023.1,681.4028,89.377174,19.37323589668015,26,7170.592116363637,120001
1000.0,7352.301520751509,569.8973831725933,7085.1,679.8148,97.52679,5.448191306162657,26,7307.864578727273,121001
1000.0,7199.823741362,561.0409625617516,7124.7,687.07733,84.60517,28.371395973941183,26,7142.490407909092,122001
1000.0,7272.592276026982,559.7042207062012,7155.5,684.85986,97.90329,6.022093360017792,26,7342.484544818182,123001
,,,,,,,,,124000
1000.0,7427.3676589522165,576.2230241307556,7204.1,692.2241,94.86692,11.460758939165089,27,7378.093971545453,124001
1000.0,7256.946969159969,566.7147189754452,7229.4,690.5296,90.95994,17.602542803701432,27,7290.318386272727,125001
1000.0,7154.7259196120585,562.6862941182161,7223.4,697.0984,82.47904,35.26928924884363,26,7175.3495376363635,126001
1000.0,7270.615882648769,568.3936328153899,7231.7,699.7864,84.40544,32.40636337813793,26,7236.509721181818,127001
,,,,,,,,,128000
1000.0,7380.860758317789,576.1956984154306,7269.0,701.3639,93.45605,15.627681481632356,27,7427.796064636364,128001
1000.0,7379.046714023683,578.5649967071818,7301.8,701.5442,94.963135,14.963049959491947,26,7438.5912965454545,129001
1000.0,7416.984073447272,580.7678272191847,7324.4,704.8877,96.16738,13.5528285111098,27,7488.308816909091,130001
1000.0,7344.92904339417,574.7503680483919,7344.7,698.4312,92.28306,18.61440110545242,26,7367.170487727271,131001
,,,,,,,,,132000
1000.0,7412.935284921448,584.1436079067595,7361.9,702.9346,96.16454,12.927990188659589,26,7478.367695545455,132001
1000.0,7539.023278216057,582.0023223239969,7385.7,706.58234,100.501945,6.126204549460712,27,7580.743728818182,133001
1000.0,7371.147582149216,574.9710946206628,7387.9,711.9295,82.19367,37.327454011941114,27,7315.242165,134001
1000.0,7543.290347342509,578.1887382445693,7423.9,707.4819,97.74483,10.873940940127216,27,7538.485445636365,135001
,,,,,,,,,136000
1000.0,7474.457373398674,585.4082561553292,7460.8,715.3876,93.592674,18.369211664428246,27,7549.737567363636,136001
1000.0,7563.211980024549,585.3715824171138,7475.7,710.1557,96.56714,13.763855427786945,26,7543.43676309091,137001
1000.0,7423.2685230251,576.4017058836558,7476.5,714.00775,88.580864,27.80025888262937,26,7432.712115181817,138001
1000.0,7567.820150345773,589.3604363009543,7491.5,712.4646,100.25738,7.777369958677624,27,7630.338906545454,139001
,,,,,,,,,140000
1000.0,7503.2356373211405,579.4972565647041,7513.1,715.3461,95.86035,15.46208885941521,27,7572.542588,140001
1000.0,7636.163275901618,588.9194448238516,7525.4,719.98724,94.551155,18.56596347774256,29,7597.242719272727,141001
1000.0,7561.5636948506735,590.7066525360957,7527.1,721.86914,90.577065,25.14798309706562,28,7552.0113832727275,142001
1000.0,7743.699070598985,594.4410722546237,7567.8,723.2916,102.13743,7.32167837370668,28,7748.1963595454545,143001
,,,,,,,,,144000
1000.0,7748.921013059567,595.4754583783329,7592.1,719.87573,102.46931,6.604554992984803,28,7722.232311636363,144001
1000.0,7580.56833361688,584.6710118054744,7586.6,724.5014,86.38894,33.16929240298637,28,7492.145970636364,145001
1000.0,7843.6307950827295,600.7792059958001,7616.3,726.0873,106.18967,1.426461719687557,28,7841.379322,146001
1000.0,7681.415865148348,594.0668146627629,7648.8,727.31354,98.61348,13.839582248390032,29,7722.865755454546,147001
,,,,,,,,,148000
1000.0,7571.3798782672475,586.151992486417,7650.1,728.1504,91.64866,26.108561174485057,29,7600.709710363634,148001
