eval_qs,eval_qs_difference,total timesteps,eval_time_elapsed,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_eplenmean
301.44193,52.57479109789388,148001,29,2654.245909636364,266.7109895112549,56.794468,2222.0,3020.446196363082,921.4545454545455
,,148396,,,,,,,
227.42804,99.45394492897456,149001,27,1216.9911852727273,213.5858914066138,100.51462,2118.3,1211.9292902689926,842.0909090909091
301.72653,38.684811857211805,150001,31,2857.721404545455,295.08420823445266,45.739014,2199.0,2356.1224873554897,976.5454545454545
226.58083,101.84167617215576,151001,22,1057.356973909091,227.83118093873964,103.92805,2188.8,464.7708316758409,703.3636363636364
299.80774,48.68977996577605,152001,29,2608.9896750000003,279.9079099294504,53.79874,2267.6,3081.383255214122,904.3636363636364
,,152396,,,,,,,
308.1725,31.252833733058655,153001,32,3050.7592050909093,284.4066025097211,40.814938,2287.7,3158.968311004683,1000.0
262.24695,107.43397230816004,154001,18,881.6718878181819,221.1091643062805,108.48646,2140.5,-1454.2557837909317,568.2727272727273
284.74936,49.49599713167598,155001,28,2359.8019688181816,291.7435571428459,52.226345,2123.0,1100.453485220117,878.3636363636364
,,155215,,,,,,,
285.0808,101.16250291179425,156001,20,1571.4267673636364,236.5962247393697,104.410355,2012.6,3070.5833695367387,646.0
228.28502,60.56114618864728,157001,29,1842.099285090909,203.96973814282046,62.23909,1943.1,3032.122422339649,912.2727272727273
299.33716,45.37576621857489,158001,30,2693.7404659999997,282.6218283795899,48.976196,2073.8,2901.8554721381142,944.7272727272727
286.9046,66.00197843976046,159001,29,2265.2652058181816,262.05700485814737,69.757454,2023.8,3071.400222300483,920.1818181818181
,,159215,,,,,,,
309.19174,37.03701103367297,160001,31,2902.5554589090907,289.08728671410273,47.276443,2205.2,2993.4554713119246,963.0
232.12498,93.57775896947122,161001,22,1130.4836267272726,222.50678458615022,94.74748,2088.7,2432.5244890211925,684.5454545454545
257.8285,59.31773327156868,162001,26,1810.3905325454546,289.01160350961624,62.485214,1954.5,2897.7053834054404,810.5454545454545
,,162665,,,,,,,
305.0359,52.465558891789776,163001,27,2399.1919709090907,281.8327599823033,56.034874,2064.8,2063.596969570169,834.3636363636364
218.25226,75.70549570193158,164001,25,1419.125923272727,231.52500045562275,77.42046,1996.9,1384.3836125715727,797.2727272727273
240.32486,47.47100196272338,165001,32,2205.5541937272724,279.81377587303626,52.650658,2051.6,3096.2521138811276,1000.0
,,165442,,,,,,,
266.45764,57.19996493023481,166001,32,2373.0128487272727,283.26880466164107,60.108276,2136.2,2855.014159072679,1000.0
293.64377,61.28928240252745,167001,28,2391.5837354545456,270.7852191703833,64.93136,2094.5,2768.5956006767456,883.3636363636364
330.46692,48.97360752601817,168001,30,2977.303939181818,287.83933232235495,53.839718,2175.9,3375.5657647559697,944.8181818181819
326.23453,69.9779084977623,169001,26,2544.630042909091,270.2807953846552,72.51789,2150.9,2769.4444456136316,837.7272727272727
,,169396,,,,,,,
273.21457,52.71375050591553,170001,29,2332.6424080909096,277.01219121092913,56.063442,2259.8,3256.904301639873,906.2727272727273
311.7088,75.47349628040295,171001,29,2580.458203,275.39416894508946,79.22999,2342.8,3270.0092837517846,914.6363636363636
288.11658,46.9782814064177,172001,29,2520.8478561818188,270.1557293003571,51.715267,2356.9,3257.4095478902523,934.5454545454545
313.19324,57.63912100295825,173001,26,2541.299911181818,279.9990320361128,63.29081,2454.9,3259.421950850909,814.3636363636364
,,173119,,,,,,,
295.756,48.62583873886492,174001,30,2613.4948137272727,293.54611369622904,53.692715,2520.2,2978.1169135191744,930.3636363636364
336.8861,35.06952387516806,175001,32,3322.6062610909094,307.51562767596204,44.616653,2646.9,3420.288326100622,1000.0
272.4451,68.92586696926664,176001,25,1851.8163046363634,272.4939766776636,73.14324,2570.7,3277.9528331713427,771.8181818181819
,,176475,,,,,,,
250.43016,96.44144393841542,177001,28,1531.416848727273,262.5258012716193,100.239944,2452.9,1500.5549082425573,859.0909090909091
300.27777,93.41969119562891,178001,26,2006.5088101818183,271.5331837718855,99.22364,2365.3,3353.3577331975407,801.2727272727273
228.3644,93.34066619788968,179001,30,1503.2200412727273,283.9932225153437,96.411446,2285.7,3171.168523705613,948.6363636363636
,,179707,,,,,,,
282.1124,55.309610395653266,180001,31,2429.2366920909094,284.20552503206136,63.160233,2264.9,3302.537959574081,954.4545454545455
275.1068,87.62798199929586,181001,25,1806.831055545454,267.63064467637037,90.5061,2169.9,2900.800171455269,784.3636363636364
263.69693,81.5933053795332,182001,29,2016.1979532727273,243.32119460543817,84.78328,2164.2,100.35781743011094,912.1818181818181
249.64478,45.451097756986464,183001,33,2331.631729818182,292.62149444632394,52.460426,2101.6,2022.8270882927645,1000.0
,,183596,,,,,,,
286.71323,45.22650262013115,184001,28,2415.954016090909,284.1230375357159,51.78811,2004.0,3135.002633054647,872.2727272727273
271.25565,50.43960769060081,185001,30,2336.3443598181816,284.4137976705338,54.9527,2045.2,1788.964307145629,935.3636363636364
280.65506,94.51679912749238,186001,19,1439.1914904545456,247.02343357324335,98.556496,2054.7,521.398028405593,607.7272727272727
,,186298,,,,,,,
256.40256,43.39997573437497,187001,30,2262.7887586363636,277.1439373686157,47.705654,2051.0,2797.1697569504645,939.2727272727273
309.09567,45.8844435092939,188001,31,2842.530620363636,297.4556254726386,51.14755,2199.3,3279.0371757997355,971.8181818181819
301.35715,59.32708814597905,189001,29,2569.307351090909,288.90494915448687,61.400486,2221.5,1561.0458832688505,924.3636363636364
,,189740,,,,,,,
289.26184,41.14317726468193,190001,32,2766.588930090909,288.28508311882604,45.450745,2323.2,1589.1910874116752,1000.0
345.85696,50.50931181758789,191001,30,3106.1761346363633,286.66135977564426,53.02789,2427.6,3319.355485878711,949.5454545454545
267.65167,49.74931379008188,192001,31,2350.220614,272.2334267846154,55.64784,2440.5,3226.293547288931,967.8181818181819
325.66776,39.46337798548631,193001,30,3027.613750727273,297.76849114380946,45.174797,2528.7,3507.742424476149,954.0909090909091
,,193740,,,,,,,
259.6517,72.29611002344679,194001,28,1771.6900489999998,260.3372042102344,76.46754,2470.6,1322.9134034135125,859.4545454545455
279.40228,53.72833706303965,195001,27,2250.2414044545453,271.0492478373332,60.60404,2499.1,3568.9168072023404,857.9090909090909
317.03806,54.7681022857289,196001,29,2798.1541962727274,284.01119573285905,60.509975,2606.9,3335.7698222241434,906.3636363636364
,,196372,,,,,,,
294.5411,43.04823644396517,197001,29,2665.437385909091,292.1233237066059,51.499203,2597.1,1733.9215889756097,925.1818181818181
346.6555,32.029975332288,198001,32,3455.621246363636,312.4910114435113,43.551426,2669.0,3452.5985611797164,1000.0
338.93698,55.03079062430765,199001,28,2838.403548181818,286.54619805925415,61.248573,2696.2,2178.873212782728,868.4545454545455
,,199561,,,,,,,
305.5345,56.21161588886981,200001,29,2679.9747422727273,293.3397079844721,65.69831,2653.3,3640.1392843953495,922.3636363636364
301.5684,29.24875831217071,201001,32,3035.341515545454,315.29816767055814,41.28196,2705.3,3419.297825329807,1000.0
352.32727,33.78993031280548,202001,32,3493.9230313636363,311.666544490578,42.58065,2784.0,3500.1157154228144,1000.0
,,202319,,,,,,,
288.57935,75.37851757609302,203001,30,2234.618581909091,289.024322490683,78.86656,2798.9,2914.9370575326498,920.6363636363636
348.32516,37.255916995554905,204001,29,3185.2042788181816,319.6780392429505,46.84573,2937.9,3609.035411063285,918.2727272727273
308.1826,83.13449664824061,205001,27,2291.297680727273,289.93799420997226,91.044136,2878.1,3576.900193448092,851.7272727272727
,,205203,,,,,,,
297.62918,30.456530104118848,206001,31,2887.474286181818,295.94303385134697,38.212353,2906.2,1751.7679573698454,974.2727272727273
