eval_eplenmean,eval_abs_qs_difference,eval_qs,eval_returns,total timesteps,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean
251.27272727272728,71.84482,297.8793,833.4932451349266,53001,238.25512926538903,685.8,71.38324949291837,7,806.9303208181819
,,,,53758,,,,,
225.1818181818182,105.02063,302.778,668.4204479107193,54001,221.14958465221673,695.0,105.01120247680174,6,664.2861550909091
,,,,54674,,,,,
211.0,107.14444,296.23053,621.2002996897143,55001,221.1765563423678,663.1,106.55724085724142,5,619.2115196363636
,,,,55735,,,,,
233.0909090909091,92.007904,291.85504,688.6731591531445,56001,225.2135984959179,682.8,91.02768833068278,6,691.1004817272726
,,,,56644,,,,,
226.1818181818182,91.95561,294.60184,691.6668831055248,57001,227.4126065716573,715.8,91.7159443136571,6,684.0579929999999
,,,,57645,,,,,
210.0,106.10357,293.32025,622.962606113364,58001,220.1489109157439,710.3,105.71890943849299,5,611.9374283636363
,,,,58721,,,,,
259.09090909090907,86.922195,309.4696,809.1057633003633,59001,235.23729634561968,712.6,86.73623201176237,6,810.3689348181819
,,,,59543,,,,,
210.27272727272728,116.56694,310.07092,623.0439611878436,60001,225.0287569384006,708.4,114.97706984974376,5,633.0286031818182
,,,,60105,,,,,
,,,,60386,,,,,
115.27272727272727,218.64693,332.55252,257.5614642579336,61001,151.72974247708842,653.6,218.5961628900367,2,288.5620526363636
,,,,61047,,,,,
255.0909090909091,78.592,292.27316,931.0913515350196,62001,225.49008847576613,644.5,76.24578671773342,6,790.7117160909091
,,,,62051,,,,,
,,,,62700,,,,,
183.54545454545453,156.37596,326.5323,342.6730738625495,63001,198.85235978074613,634.5,155.08354837959962,5,548.7817525454547
,,,,63615,,,,,
194.0,137.99515,322.0092,794.5203936896136,64001,205.3783554973167,626.6,137.8293561659407,5,596.4965532727273
,,,,64579,,,,,
234.9090909090909,95.09946,312.16946,787.8950019762523,65001,231.91719314795156,633.6,94.2944207684373,6,742.7857181818182
,,,,65517,,,,,
232.8181818181818,99.96042,311.45444,720.3862134212278,66001,232.16294874617827,638.9,98.84155907444871,6,724.8446038181818
,,,,66494,,,,,
245.54545454545453,60.91979,298.2029,868.7612500866791,67001,242.873001213976,659.5,60.508138851254785,7,824.6385729090908
,,,,67204,,,,,
,,,,67669,,,,,
235.9090909090909,85.65007,299.77563,669.4901355217133,68001,236.10465131608407,658.4,83.93642236442048,6,747.2725697272728
,,,,68178,,,,,
419.45454545454544,66.880974,326.3113,1465.2986192205205,69001,252.58945268508603,724.7,66.05711054033164,12,1343.3265648181816
,,,,69121,,,,,
,,,,69678,,,,,
232.54545454545453,75.50125,306.64468,782.1642089290799,70001,246.70826716843692,782.2,74.44063837375134,6,784.2231712727273
,,,,70352,,,,,
248.9090909090909,56.67673,293.11584,792.2353818287165,71001,237.082757477198,791.9,56.00725006521224,7,825.9042982727274
,,,,71167,,,,,
241.54545454545453,93.397804,311.4438,760.5378703138506,72001,234.7033685844398,807.7,92.65585169609007,6,760.8308465454546
,,,,72220,,,,,
242.36363636363637,59.525208,281.29617,728.6582444483363,73001,231.33139081628076,836.7,56.66297933747749,6,774.4416163636364
,,,,73077,,,,,
,,,,73954,,,,,
234.8181818181818,87.66446,295.89407,722.5241536158413,74001,231.55955951191092,833.0,87.08629067089201,6,719.574676909091
,,,,74836,,,,,
232.36363636363637,81.05309,295.0386,732.0815896227638,75001,236.0544590794967,833.5,80.52259764473975,6,732.1537393636363
,,,,75708,,,,,
232.0,96.274345,292.84073,695.4643179227112,76001,229.29433840319555,821.0,95.68207371149005,6,684.4655748181818
,,,,76506,,,,,
57.54545454545455,258.62204,303.73123,103.41320236039299,77001,77.70668315450013,752.2,258.62202279945245,1,102.88785472727272
,,,,77070,,,,,
237.9090909090909,83.146454,293.5881,727.8185236123169,78001,232.10632040136764,692.9,81.13318219574063,6,735.2408133636363
,,,,78033,,,,,
279.27272727272725,65.01489,288.49997,842.4956502802403,79001,236.6960930297718,688.8,64.33028173275501,8,860.745630090909
,,,,79114,,,,,
278.1818181818182,72.64664,292.59793,844.786458960786,80001,236.56668481934094,691.1,72.34309325454305,8,847.1207724545455
,,,,80165,,,,,
,,,,80813,,,,,
278.27272727272725,21.569832,285.88147,1000.0658868263343,81001,260.68929779830125,716.6,15.507535369451183,8,1010.4438817272727
,,,,81976,,,,,
303.0,22.13102,288.5519,1050.8788910430803,82001,258.5872162855451,750.2,15.498990278308332,8,1087.2002659090908
260.6363636363636,57.67305,305.54535,834.7297659970121,83001,251.93787219222457,771.9,56.3019825394009,7,902.2906626363638
,,,,83153,,,,,
266.27272727272725,26.147167,287.12515,949.6771034869449,84001,253.89795861844084,795.2,24.525343371935357,7,952.1125581818181
,,,,84520,,,,,
286.1818181818182,36.432438,290.5586,976.3455001394459,85001,249.87668271944048,826.6,34.17879467430262,8,981.1800315454547
,,,,85704,,,,,
316.6363636363636,23.36917,293.1114,1099.5774685983415,86001,254.34728624349194,925.7,19.114738120715366,9,1120.4700483636361
,,,,86773,,,,,
260.27272727272725,60.083786,277.2795,709.48415050796,87001,222.98235495642004,950.4,55.28127411251253,7,810.6514910909092
