eval_qs,eval_qs_difference,total timesteps,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_ep_rewmean,eval_returns,eval_time_elapsed
331.5621,42.40438430580536,159001,1000.0,273.5174908568921,51.624023,2032.3,3162.3596166363636,3188.6134210863743,30
289.09665,48.7034470830339,160001,982.1818181818181,279.92036022542544,62.04508,2061.4,2625.8435418181816,241.42165583021097,30
325.38745,64.147809520775,161001,767.5454545454545,284.92117776376216,71.70186,2124.7,2399.036964090909,1420.901483743702,23
,,161749,,,,,,,
294.50705,62.2261028785669,162001,842.1818181818181,231.55747283660412,68.36299,2206.8,2351.964474,3277.611030993343,25
231.31323,77.00687841817421,163001,841.6363636363636,210.53270235972607,79.70612,2177.1,1612.7383055454543,619.7808950696605,26
229.60014,77.46468882151059,164001,859.4545454545455,255.66870191262777,79.60778,2145.1,1516.4614451818181,1890.4582640195451,26
244.06163,93.25124536622216,165001,734.6363636363636,227.2255663699245,94.21531,2130.9,1216.0222783636366,2128.401905840644,22
,,165020,,,,,,,
284.47336,57.10478192563972,166001,923.1818181818181,279.0534713990447,67.162224,2113.5,2322.469065454545,3276.970251652028,28
,,166593,,,,,,,
285.18195,96.84280967247878,167001,734.2727272727273,263.43643792818415,101.30004,2129.0,1730.5293616363635,127.0645557575654,22
305.63937,41.001670588795626,168001,943.9090909090909,276.73779194059307,49.66615,2072.8,2783.0513465454546,3485.4785475232848,28
318.2992,51.083542213412535,169001,911.6363636363636,249.58451450639632,65.70446,2072.3,2858.788426909091,3223.012958536942,27
,,169920,,,,,,,
337.20398,58.385477217846756,170001,860.9090909090909,271.38742084007777,71.8882,2143.0,2891.545551272727,2606.6729152731937,26
322.28055,36.9097587112014,171001,912.5454545454545,306.1452816448707,54.20956,2215.2,2939.6216464545455,3502.77479323182,27
343.62204,94.0203077796075,172001,697.5454545454545,248.0765123208005,104.69321,2271.5,2408.4811602727273,3504.324472427762,21
303.09622,33.54475953954533,173001,971.9090909090909,299.61684752118157,52.582798,2424.6,2905.4683564545453,3496.0959751098885,29
,,173491,,,,,,,
363.3532,26.000564985583477,174001,935.4545454545455,328.88105081337284,61.325844,2699.6,3550.504876909091,981.9466353215545,28
368.527,24.659627213345765,175001,1000.0,339.7043429745857,53.65579,2854.4,3774.9807750909094,3742.0523525470694,30
324.8297,82.42550845320298,176001,910.0909090909091,288.62896321971306,91.76254,2928.9,2703.3564220909084,3669.479032292277,27
,,176922,,,,,,,
350.73874,64.1793218583219,177001,994.0,288.26075737529806,69.30403,3013.3,3135.815013636364,2490.854050490195,30
330.96973,65.5632872674488,178001,906.3636363636364,267.0041765109649,78.35119,3026.6,2895.2349489999997,3233.7641917979345,27
324.52817,39.36467759726363,179001,1000.0,322.80962713132357,51.863113,3027.4,3171.2164876363636,2210.828037879227,30
376.98712,26.91578618296542,180001,939.8181818181819,330.3562920265689,53.76411,3137.3,3647.8128951818176,3666.2280900621254,28
,,180104,,,,,,,
379.9095,48.31113885392262,181001,1000.0,312.7678385130249,55.79979,3240.0,3625.623481545455,3611.333292624395,31
350.68,36.1278993121699,182001,947.7272727272727,307.48668867593693,59.625484,3298.3,3311.056239181818,4011.673343599563,29
384.2009,27.889122708580487,183001,938.5454545454545,338.3133520549858,60.23691,3306.6,3724.6204,3985.6394566102285,29
,,183933,,,,,,,
384.13947,30.846636433717265,184001,1000.0,334.8303611060758,56.28268,3344.7,3864.410374181818,3830.082398001863,30
362.88354,44.16307678528896,185001,889.1818181818181,319.27079524572713,60.264126,3421.6,3206.389490090909,1410.195104329589,27
389.94864,32.87133759390286,186001,941.0,345.6071543666653,58.18588,3444.4,3721.1603744545455,4035.404233375972,28
376.3551,90.04228119620198,187001,923.8181818181819,305.8250175666895,96.777435,3470.4,3040.8889673636363,3574.83087528751,28
,,187302,,,,,,,
344.73508,85.53656386191824,188001,764.4545454545455,294.6200448686895,94.53565,3388.5,2248.1091447272725,1371.6577084740202,23
391.89767,90.30802734112427,189001,876.0,320.20450907240433,93.28271,3328.3,3110.2515789090908,3182.9106416211853,26
402.7507,55.50248693775236,190001,983.6363636363636,347.48123599781707,61.379196,3330.1,3759.5290142727276,4052.0476973151094,30
377.72968,89.32855883385403,191001,741.9090909090909,318.4544220745056,93.24024,3250.7,2546.082034272727,3879.4878767412447,22
,,191042,,,,,,,
403.2025,61.483359081580126,192001,946.7272727272727,341.99396788724556,68.53063,3242.3,3597.9276685454547,3757.676151873929,28
406.9971,50.304783900152145,193001,939.0,353.418296661515,61.84015,3223.0,3749.22799590909,3992.3335952712337,28
406.82697,56.00632685060263,194001,829.0,358.7385851990268,73.724785,3221.9,3406.0086234545456,4074.5005555332837,25
399.31708,59.78673442032104,195001,910.9090909090909,311.3949252646223,76.108284,3224.3,3671.3804321818184,4077.209704241171,27
,,195042,,,,,,,
408.69885,40.93335385572674,196001,997.5454545454545,356.1696329347675,56.318478,3318.4,4021.6193675454547,4146.413556794767,31
408.83102,39.410581376979614,197001,941.9090909090909,368.7984280211642,61.57153,3483.5,3897.1384743636368,4319.989637381957,28
407.66708,61.57996765240943,198001,893.0,338.0783990524244,77.67932,3571.8,3585.7398943636363,4057.776181301515,27
,,198935,,,,,,,
407.9714,54.092829085652326,199001,1000.0,340.9700742622065,59.997887,3598.9,3876.3461051818185,3998.661905130768,30
413.90305,28.92366434125661,200001,978.6363636363636,383.3672732230432,56.53702,3745.9,4148.097283727272,4207.069823629861,29
347.3819,67.56816111501143,201001,1000.0,346.25401803648805,79.97382,3750.1,3140.9287808181807,924.3675539846421,30
,,201974,,,,,,,
408.89066,56.85846333308758,202001,915.8181818181819,348.93520563665044,64.30376,3708.9,3609.2212039999995,4150.8677348622605,27
415.74124,102.7547763839832,203001,737.2727272727273,305.4448919021736,109.76641,3626.0,2958.1320100000003,4064.557476818529,22
418.85706,74.8318941684734,204001,846.6363636363636,346.02172814967156,87.64936,3639.9,3497.176679272727,4141.808716285293,25
