eval_ep_rewmean,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval_qs,total timesteps,eval_time_elapsed,eval_qs_difference,eval_returns,eval mean 100 episode reward
889.3297513636364,273.54545454545456,238.65193642027086,61.57996,294.41846,95001,7,59.728948921092744,945.4775730232367,940.7
,,,,,95662,,,,
907.1181150909091,272.8181818181818,236.7815071337739,46.50855,287.0165,96001,7,44.559410239158474,1060.4813075334132,941.3
,,,,,96654,,,,
807.8080172727273,250.0,208.778740037888,91.67618,292.99182,97001,7,84.44829589464334,1445.2740658444307,838.3
,,,,,97862,,,,
775.0789508181817,233.0,236.2790906117986,50.33057,281.23572,98001,6,49.69532714531483,804.3683948590603,806.2
,,,,,98708,,,,
819.3505430909092,271.54545454545456,211.11798554376674,117.6675,321.15106,99001,7,116.82510530408732,763.294065942683,807.9
,,,,,99773,,,,
845.0860989090908,250.72727272727272,235.48885337580106,44.207264,280.0921,100001,7,41.59793240896489,657.537583333659,778.9
,,,,,100781,,,,
1308.5194465454545,417.54545454545456,237.3802593698811,64.10352,312.7927,101001,11,61.16461304842076,2670.4532316322493,828.5
,,,,,101851,,,,
999.5029900909092,294.90909090909093,239.14320504030272,46.703564,300.4221,102001,8,44.74051908415233,837.400060865463,858.2
737.3218022727274,248.8181818181818,225.27596600725659,79.6973,285.8648,103001,7,79.17008797351512,730.8390494732747,891.3
,,,,,103156,,,,
468.8691685454545,176.0909090909091,173.55092429871064,152.2566,296.58554,104001,5,151.9937332026667,715.140752589622,855.4
,,,,,104491,,,,
683.2872686363636,220.9090909090909,201.78282649269286,98.04658,288.77298,105001,6,94.21324596723593,1094.9974335419465,829.2
,,,,,105178,,,,
1359.798617909091,379.27272727272725,262.21655524724514,16.57245,301.5457,106001,10,11.598800550339309,1367.9342175611678,885.2
,,,,,106331,,,,
1242.2105379090908,369.6363636363636,215.79702559412243,50.93717,301.24857,107001,10,47.50261343549608,1335.532527449948,933.1
120.78503890909091,62.63636363636363,74.24694554573328,245.09808,297.51355,108001,1,245.05746147748016,65.3956791549367,865.8
,,,,,108283,,,,
1078.1088420909089,269.6363636363636,270.74271941243916,46.672314,297.39246,109001,7,1.8008749012669822,1176.5947443664684,881.4
,,,,,109269,,,,
896.1279406363636,249.0,254.2159620443288,32.474667,289.1517,110001,7,30.367408308045814,881.0480325174842,865.7
,,,,,110277,,,,
959.1854816363638,252.72727272727272,263.33983874097373,19.965343,289.09692,111001,7,13.03160940081484,1075.3222110759841,838.6
,,,,,111224,,,,
446.36896972727277,162.27272727272728,193.45740308374235,184.5089,341.5561,112001,4,184.50888823900962,443.9088538393253,808.3
,,,,,112393,,,,
803.1834223636364,231.0,245.9667589973155,62.809437,300.0214,113001,6,59.59768248439102,954.0556644292797,839.3
,,,,,113368,,,,
786.9483078181819,214.54545454545453,253.37953773182062,33.365147,280.18262,114001,6,30.30825955084939,791.2717416911536,858.5
,,,,,114166,,,,
729.3236965454545,207.0909090909091,237.76869690837893,39.461395,270.10733,115001,5,36.66297635023966,493.95467644502673,799.3
,,,,,115030,,,,
,,,,,115895,,,,
946.1755353636363,258.1818181818182,251.46569700136786,28.591747,294.77753,116001,7,25.182044505836668,901.8156949490888,760.1
,,,,,116603,,,,
472.7017517272727,152.0,201.92592983472844,65.401375,242.19269,117001,4,63.15709597609443,418.59161265060993,783.0
,,,,,117418,,,,
709.8856553636364,199.72727272727272,241.47424026211021,49.330578,282.74747,118001,5,47.6782404126214,661.7573335078488,759.9
,,,,,118251,,,,
616.9673660909091,184.0,227.5062298272416,40.895424,247.97963,119001,5,35.55760248956838,574.5895849921462,723.6
,,,,,119168,,,,
,,,,,119947,,,,
681.4163383636364,199.63636363636363,217.91837659380607,58.086437,266.26163,120001,5,56.5694993941893,908.4590685001983,692.6
,,,,,120760,,,,
497.9259001818181,158.45454545454547,207.82027150115206,54.879513,231.71968,121001,4,49.84368803478246,512.8870647599014,690.6
,,,,,121454,,,,
745.1379384545456,211.0,242.9040522736727,34.60194,267.79742,122001,6,30.672955861534685,871.5172645992802,690.3
,,,,,122427,,,,
805.125944090909,220.45454545454547,250.01993180725506,45.592907,293.043,123001,6,41.77866678584291,818.8301663139264,690.0
,,,,,123434,,,,
1009.8082129999999,261.8181818181818,263.4175985749472,23.364697,297.88815,124001,7,14.08974519667479,1155.7211502657067,713.7
,,,,,124382,,,,
463.0641194545455,164.72727272727272,188.66135973626945,187.42015,345.8367,125001,4,186.8996867163078,396.4334075811074,675.6
,,,,,125216,,,,
,,,,,125899,,,,
648.6457511818181,209.0909090909091,208.9044797197579,130.92609,324.50037,126001,5,129.6581542426684,580.3092403791997,682.5
,,,,,126782,,,,
985.0454590909089,284.27272727272725,236.36395517371804,82.73895,327.0061,127001,8,80.12659068738535,1028.4446969478981,713.0
,,,,,127546,,,,
903.3140675454546,231.54545454545453,266.44923674106946,16.322771,286.09216,128001,6,10.240554341220475,827.29223300406,744.7
,,,,,128493,,,,
806.2275662727275,220.0,249.1248951512747,40.937447,289.5145,129001,6,38.09208291769455,651.3835880068477,760.6
,,,,,129396,,,,
581.4698675454546,162.36363636363637,184.60524554620764,113.08704,292.91995,130001,4,109.06037088502559,853.6017117672691,766.2
,,,,,130032,,,,
1212.1592170909091,314.27272727272725,268.81430003863863,25.635323,324.38535,131001,8,23.652871437895268,1249.7539674102231,819.5
,,,,,131150,,,,
892.1389561818182,231.54545454545453,260.7349134789319,19.5689,276.597,132001,6,3.141993218009462,923.2027239255173,833.6
,,,,,132191,,,,
864.2957750909092,224.9090909090909,258.4584470082416,23.072083,282.19543,133001,6,11.830766850864455,904.104284465562,823.1
,,,,,133392,,,,
98.674552,53.81818181818182,73.61361282486372,268.45157,316.37726,134001,1,268.45158133054827,99.99750257501539,776.1
,,,,,134540,,,,
657.4795439999999,192.0909090909091,231.5279436103235,64.019646,282.49954,135001,5,59.59514569167607,682.8048095263028,773.0
,,,,,135535,,,,
926.8178051818181,256.45454545454544,254.79927020185085,68.40684,328.7969,136001,7,66.95014879924287,817.9234375075482,776.9
,,,,,136429,,,,
989.4313915454545,284.0,248.90210675067237,75.63438,335.6269,137001,8,75.06229409147099,996.9242456479587,781.3
,,,,,137312,,,,
627.3807259090908,190.8181818181818,224.47278628820888,68.507805,278.56906,138001,5,66.27355066735642,631.7077769479667,762.1
,,,,,138197,,,,
997.4840389999998,275.54545454545456,256.3649062109842,48.620083,315.47318,139001,7,45.578812956181444,999.5197450136284,806.6
,,,,,139164,,,,
752.1525986363638,209.1818181818182,244.88865944274187,53.926125,295.73093,140001,6,52.482994215522695,685.0144158868286,765.4
,,,,,140116,,,,
1062.2228121818182,284.3636363636364,262.99035897903144,42.23759,322.09128,141001,8,40.12542702747442,1069.252149447946,775.0
,,,,,141187,,,,
910.4294715454545,235.0909090909091,262.4711966147238,27.780977,299.2668,142001,6,22.561903282516095,908.0474505615224,780.6
,,,,,142195,,,,
982.4570376363637,270.72727272727275,256.5178327658418,51.142544,317.72067,143001,7,48.62944006404012,981.9945265794919,861.8
,,,,,143140,,,,
